Transaction ID,Date,Description,Merchant,Category,Amount,Payment Method,Type
T0296,2026-02-14,Grocery Mart - Food,Grocery Mart,Food,87.42,Card,Expense
T0306,2026-02-14,Swiggy - Food,Swiggy,Food,232.6,UPI,Expense
T0307,2026-02-15,Starbucks - Food,Starbucks,Food,641.32,Card,Expense
T0288,2026-02-16,Netflix - Entertainment,Netflix,Entertainment,670.65,Card,Expense
T0323,2026-02-17,Spotify - Entertainment,Spotify,Entertainment,275.01,Card,Expense
T0318,2026-02-17,Myntra - Shopping,Myntra,Shopping,2433.13,Card,Expense
T0301,2026-02-18,Local Cafe - Food,Local Cafe,Food,92.93,Cash,Expense
T0324,2026-02-18,Spotify - Entertainment,Spotify,shopping ,139.37,UPI,Expense
T0302,2026-02-19,Local Cafe - Food,Local Cafe,Food,168.93,UPI,Expense
T0292,2026-02-19,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,827.1,UPI,Expense
T0326,2026-02-19,Netflix - Entertainment,Netflix,Entertainment,516.13,UPI,Expense
T0327,2026-02-20,Spotify - Entertainment,Spotify,Entertainment,226.06,UPI,Expense
T0310,2026-02-21,Ola - Transport,Ola,Transport,496.91,Card,Expense
T0289,2026-02-22,Spotify - Entertainment,Spotify,Entertainment,119.6,UPI,Expense
T0330,2026-02-22,Local Library - Education,Local Library,Education,2933.91,Card,Expense
T0317,2026-02-23,Metro Card - Transport,Metro Card,FOOD,403.37,UPI,Expense
T0333,2026-02-24,Nykaa - Personal Care,Nykaa,Personal Care,703.26,Card,Expense
T0320,2026-02-25,Myntra - Shopping,Myntra,Shopping,1537.46,Card,Expense
T0328,2026-02-25,Apollo Pharmacy - Health & Fitness,Apollo Pharmacy,Health & Fitness,213.83,Card,Expense
T0293,2026-02-25,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,412.17,UPI,Expense
T0321,2026-02-25,Decathlon - Shopping,Decathlon,Shopping,798.58,UPI,Expense
T0314,2026-02-26,Uber - Transport,Uber,Transport,43.54,UPI,Expense
T0297,2026-02-26,Grocery Mart - Food,Grocery Mart,Food,103.22,UPI,Expense
T0290,2026-02-26,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,12097.21,Bank Transfer,Expense
T0319,2026-02-27,Decathlon - Shopping,Decathlon,Shopping,597.25,Card,Expense
T0299,2026-02-27,Local Cafe - Food,Local Cafe,Food,286.88,Cash,Expense
T0291,2026-02-27,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1843.14,Bank Transfer,Expense
T0357,2026-03-01,Zomato - Food,Zomato,Food,203.41,Cash,Expense
T0335,2026-03-01,Monthly Salary,Employer Payroll,Income,48586.9,Bank Transfer,Income
T0356,2026-03-01,Zomato - Food,Zomato,Food,503.72,Card,Expense
T0383,2026-03-03,IRCTC - Travel,IRCTC,Travel,5226.75,Card,Expense
T0375,2026-03-04,Decathlon - Shopping,Decathlon,Shopping,1340.85,Card,Expense
T0369,2026-03-04,Uber - Transport,Uber,Transport,147.35,UPI,Expense
T0337,2026-03-05,Spotify - Entertainment,Spotify,Entertainment,121.1,UPI,Expense
T0385,2026-03-06,Salon - Personal Care,Salon,Personal Care,876.14,UPI,Expense
T0362,2026-03-06,Ola - Transport,Ola,Transport,116.3,Card,Expense
T0349,2026-03-06,Grocery Mart - Food,Grocery Mart,Food,765.21,Cash,Expense
T0338,2026-03-07,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,12478.93,Bank Transfer,Expense
T0350,2026-03-07,Zomato - Food,Zomato,Food,255.83,Cash,Expense
T0378,2026-03-07,PVR Cinemas - Entertainment,PVR Cinemas,Entertainment,667.02,Card,Expense
T0372,2026-03-08,Ola - Transport,Ola,Transport,429.69,Cash,Expense
T0336,2026-03-08,Netflix - Entertainment,Netflix,Entertainment,630.47,Card,Expense
T0348,2026-03-10,Grocery Mart - Food,Grocery Mart,Food,124.41,Cash,Expense
T0374,2026-03-10,Decathlon - Shopping,Decathlon,Shopping,364.41,Card,Expense
T0348,2026-03-10,Grocery Mart - Food,Grocery Mart,TRANSPORT,124.41,Cash,Expense
T0379,2026-03-11,PVR Cinemas - Entertainment,PVR Cinemas,Entertainment,526.63,UPI,Expense
T0347,2026-03-11,Swiggy - Food,Swiggy,Food,115.77,Cash,Expense
T0354,2026-03-12,Swiggy - Food,Swiggy,Food,749.08,Cash,Expense
T0376,2026-03-12,Amazon - Shopping,Amazon,Shopping,2963.85,UPI,Expense
T0352,2026-03-12,Dominos - Food,Dominos,Food,501.38,Card,Expense
T0367,2026-03-13,Ola - Transport,Ola,Transport,66.15,Card,Expense
T0368,2026-03-15,Uber - Transport,Uber,Transport,80.76,Card,Expense
T0342,2026-03-15,Starbucks - Food,Starbucks,Food,325.34,UPI,Expense
T0360,2026-03-16,Ola - Transport,Ola,Transport,204.08,Card,Expense
T0361,2026-03-16,Rapido - Transport,Rapido,Transport,141.92,UPI,Expense
T0377,2026-03-17,Myntra - Shopping,Myntra,Shopping,469.4,UPI,Expense
T0384,2026-03-17,MakeMyTrip - Travel,MakeMyTrip,Travel,1573.82,Card,Expense
T0359,2026-03-17,Ola - Transport,Ola,Transport,207.97,Card,Expense
T0340,2026-03-17,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,810.41,UPI,Expense
T0339,2026-03-17,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1782.53,Bank Transfer,Expense
T0364,2026-03-19,Uber - Transport,Uber,Transport,531.02,Card,Expense
T0358,2026-03-20,Rapido - Transport,Rapido,Transport,116.46,Cash,Expense
T0365,2026-03-20,Ola - Transport,Ola,Transport,52.29,Card,Expense
T0351,2026-03-20,Dominos - Food,Dominos,Food,204.38,Cash,Expense
T0353,2026-03-20,Dominos - Food,Dominos,Food,327.76,Cash,Expense
T0363,2026-03-21,Uber - Transport,Uber,Transport,62.17,UPI,Expense
T0343,2026-03-21,Starbucks - Food,Starbucks,Food,225.76,Cash,Expense
T0366,2026-03-21,Metro Card - Transport,Metro Card,Transport,84.95,Cash,Expense
T0381,2026-03-21,Apollo Pharmacy - Health & Fitness,Apollo Pharmacy,Health & Fitness,268.4,Cash,Expense
T0341,2026-03-21,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,399.68,UPI,Expense
T0345,2026-03-22,Local Cafe - Food,Local Cafe,Food,219.53,Card,Expense
T0380,2026-03-23,Cult.fit Gym - Health & Fitness,Cult.fit Gym,Health & Fitness,468.56,UPI,Expense
T0386,2026-03-23,Nykaa - Personal Care,Nykaa,Personal Care,348.56,Cash,Expense
T0371,2026-03-24,Uber - Transport,Uber,Transport,79.24,UPI,Expense
T0355,2026-03-24,Grocery Mart - Food,Grocery Mart,Food,102.42,Cash,Expense
T0373,2026-03-25,Amazon - Shopping,Amazon,Shopping,4290.17,UPI,Expense
T0344,2026-03-25,Dominos - Food,Dominos,Food,82.51,UPI,Expense
T0370,2026-03-26,Ola - Transport,Ola,Transport,153.05,Card,Expense
T0346,2026-03-26,Swiggy - Food,Swiggy,Food,723.01,Card,Expense
T0382,2026-03-26,Coursera - Education,Coursera,Education,2264.39,Card,Expense
T0399,2026-04-01,Zomato - Food,Zomato,Food,360.25,UPI,Expense
T0387,2026-04-01,Monthly Salary,Employer Payroll,Income,50045.14,Bank Transfer,Income
T0398,2026-04-01,Local Cafe - Food,Local Cafe,Food,773.33,UPI,Expense
T0434,2026-04-02,Coursera - Education,Coursera,Education,2812.2,UPI,Expense
T0414,2026-04-02,Metro Card - Transport,Metro Card,Transport,524.11,Card,Expense
T0405,2026-04-02,Starbucks - Food,Starbucks,Food,373.49,UPI,Expense
T0425,2026-04-03,Spotify - Entertainment,Spotify,Entertainment,448.28,UPI,Expense
T0388,2026-04-05,Freelance Payment,Freelance Client,Income,2225.64,Bank Transfer,Income
T0395,2026-04-05,Grocery Mart - Food,Grocery Mart,Food,263.69,Cash,Expense
T0423,2026-04-06,Local Mall - Shopping,Local Mall,Shopping,758.18,UPI,Expense
T0418,2026-04-08,Rapido - Transport,Rapido,Transport,168.68,Cash,Expense
T0409,2026-04-08,Rapido - Transport,Rapido,Transport,138.36,UPI,Expense
T0390,2026-04-09,Spotify - Entertainment,Spotify,Entertainment,122.83,UPI,Expense
T0427,2026-04-09,YouTube Premium - Entertainment,YouTube Premium,Entertainment,574.52,Card,Expense
T0394,2026-04-10,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,391.24,UPI,Expense
T0404,2026-04-10,Dominos - Food,Dominos,Food,186.66,UPI,Expense
T0415,2026-04-10,Metro Card - Transport,Metro Card,Transport,250.93,UPI,Expense
T0420,2026-04-10,Local Mall - Shopping,Local Mall,Shopping,893.82,UPI,Expense
T0392,2026-04-11,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1822.28,Bank Transfer,Expense
T0435,2026-04-12,IndiGo Airlines - Travel,IndiGo Airlines,Travel,533.26,UPI,Expense
T0424,2026-04-12,Myntra - Shopping,Myntra,Shopping,421.78,Card,Expense
T0438,2026-04-12,PVR Cinemas - Large Purchase,PVR Cinemas,Entertainment,2237.18,Card,Expense
T0437,2026-04-12,Salon - Personal Care,Salon,Personal Care,1252.26,Cash,Expense
T0400,2026-04-13,Grocery Mart - Food,Grocery Mart,Food,298.31,Card,Expense
T0413,2026-04-13,Ola - Transport,Ola,Transport,202.93,Card,Expense
T0417,2026-04-13,Ola - Transport,Ola,Transport,304.56,Cash,Expense
T0422,2026-04-14,Local Mall - Shopping,Local Mall,Shopping,933.81,UPI,Expense
T0391,2026-04-14,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,12110.98,Bank Transfer,Expense
T0393,2026-04-15,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,802.81,UPI,Expense
T0432,2026-04-15,Local Clinic - Health & Fitness,Local Clinic,Health & Fitness,2189.87,Cash,Expense
T0433,2026-04-16,Local Clinic - Health & Fitness,Local Clinic,Health & Fitness,307.46,UPI,Expense
T0411,2026-04-18,Metro Card - Transport,Metro Card,Transport,485.56,Card,Expense
T0401,2026-04-18,Zomato - Food,Zomato,Food,923.59,UPI,Expense
T0419,2026-04-18,Uber - Transport,Uber,Transport,520.53,UPI,Expense
T0411,2026-04-18,Metro Card - Transport,Metro Card,Transport,485.56,Card,Expense
T0412,2026-04-18,Ola - Transport,Ola,Transport,285.83,Cash,Expense
T0406,2026-04-18,Petrol Pump - Transport,Petrol Pump,Transport,71.01,UPI,Expense
T0436,2026-04-19,Local Spa - Personal Care,Local Spa,Personal Care,683.34,Card,Expense
T0429,2026-04-19,Netflix - Entertainment,Netflix,Entertainment,207.65,Card,Expense
T0426,2026-04-20,BookMyShow - Entertainment,BookMyShow,Entertainment,123.86,UPI,Expense
T0408,2026-04-21,Uber - Transport,Uber,Transport,589.32,UPI,Expense
T0430,2026-04-21,Netflix - Entertainment,Netflix,Entertainment,211.19,Card,Expense
T0410,2026-04-22,Uber - Transport,Uber,Transport,60.42,Cash,Expense
T0403,2026-04-23,Swiggy - Food,Swiggy,Food,780.67,Cash,Expense
T0402,2026-04-23,Starbucks - Food,Starbucks,Food,255.17,Cash,Expense
T0431,2026-04-25,MedPlus - Health & Fitness,MedPlus,Health & Fitness,265.18,Cash,Expense
T0421,2026-04-25,Myntra - Shopping,Myntra,Shopping,2106.94,UPI,Expense
T0407,2026-04-25,Metro Card - Transport,Metro Card,Transport,225.73,Card,Expense
T0428,2026-04-26,YouTube Premium - Entertainment,YouTube Premium,Entertainment,196.02,UPI,Expense
T0396,2026-04-26,Swiggy - Food,Swiggy,Food,315.42,UPI,Expense
T0397,2026-04-26,Zomato - Food,Zomato,Food,149.68,Cash,Expense
T0389,2026-04-26,Netflix - Entertainment,Netflix,Entertainment,675.63,Card,Expense
T0416,2026-04-27,Rapido - Transport,Rapido,Transport,44.61,Cash,Expense
T0473,2026-05-01,Amazon - Shopping,Amazon,Shopping,2444.27,Card,Expense
T0439,2026-05-01,Monthly Salary,Employer Payroll,Income,46856.51,Bank Transfer,Income
T0483,2026-05-02,Local Spa - Personal Care,Local Spa,Personal Care,403.79,Cash,Expense
T0474,2026-05-03,Amazon - Shopping,Amazon,Shopping,1754.83,UPI,Expense
T0463,2026-05-03,Uber - Transport,Uber,Transport,287.12,UPI,Expense
T0482,2026-05-03,Nykaa - Personal Care,Nykaa,Personal Care,231.91,UPI,Expense
T0471,2026-05-03,Flipkart - Shopping,Flipkart,Shopping,1273.4,Card,Expense
T0459,2026-05-04,Starbucks - Food,Starbucks,Food,123.77,Cash,Expense
T0453,2026-05-04,Swiggy - Food,Swiggy,Food,946.74,Card,Expense
T0457,2026-05-04,Dominos - Food,Dominos,Food,156.29,Cash,Expense
T0465,2026-05-05,Metro Card - Transport,Metro Card,Transport,45.98,Card,Expense
T0460,2026-05-05,Local Cafe - Food,Local Cafe,Food,313.68,UPI,Expense
T0449,2026-05-06,Dominos - Food,Dominos,Food,672.8,Cash,Expense
T0452,2026-05-07,Swiggy - Food,Swiggy,Food,543.52,Card,Expense
T0470,2026-05-08,Amazon - Shopping,Amazon,Shopping,3243.29,UPI,Expense
T0456,2026-05-08,Grocery Mart - Food,Grocery Mart,Food,95.04,Cash,Expense
T0454,2026-05-08,Zomato - Food,Zomato,Food,117.1,UPI,Expense
T0472,2026-05-08,Amazon - Shopping,Amazon,Shopping,346.12,Card,Expense
T0441,2026-05-09,Netflix - Entertainment,Netflix,Entertainment,677.5,Card,Expense
T0451,2026-05-10,Local Cafe - Food,Local Cafe,Food,638.11,Cash,Expense
T0455,2026-05-12,Local Cafe - Food,Local Cafe,,804.67,Card,Expense
T0468,2026-05-12,Ola - Transport,Ola,Transport,303.91,UPI,Expense
T0458,2026-05-13,Grocery Mart - Food,Grocery Mart,Food,413.1,Card,Expense
T0448,2026-05-13,Dominos - Food,Dominos,Food,220.63,UPI,Expense
T0446,2026-05-13,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,394.7,UPI,Expense
T0477,2026-05-13,YouTube Premium - Entertainment,YouTube Premium,Entertainment,143.57,Card,Expense
T0480,2026-05-13,Coursera - Education,Coursera,Education,362.09,Card,Expense
T0461,2026-05-14,Zomato - Food,Zomato,Food,402.24,Cash,Expense
T0478,2026-05-15,Local Clinic - Health & Fitness,Local Clinic,Health & Fitness,309.5,UPI,Expense
T0450,2026-05-16,Zomato - Food,Zomato,Food,81.5,UPI,Expense
T0445,2026-05-17,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,805.75,UPI,Expense
T0440,2026-05-17,Freelance Payment,Freelance Client,Income,5607.02,Bank Transfer,Income
T0481,2026-05-17,Udemy - Education,Udemy,Education,1530.56,UPI,Expense
T0447,2026-05-18,Dominos - Food,Dominos,Food,151.4,UPI,Expense
T0467,2026-05-19,Rapido - Transport,Rapido,Transport,369.75,Cash,Expense
T0466,2026-05-19,Petrol Pump - Transport,Petrol Pump,Transport,337.43,Card,Expense
T0469,2026-05-20,Rapido - Transport,Rapido,Transport,151.29,UPI,Expense
T0444,2026-05-21,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1855.81,Bank Transfer,Expense
T0479,2026-05-21,Apollo Pharmacy - Health & Fitness,Apollo Pharmacy,Health & Fitness,1238.23,Card,Expense
T0475,2026-05-23,Flipkart - Shopping,Flipkart,Shopping,446.53,Card,Expense
T0442,2026-05-23,Spotify - Entertainment,Spotify,Entertainment,124.74,UPI,Expense
T0476,2026-05-24,Spotify - Entertainment,Spotify,Entertainment,354.09,UPI,Expense
T0484,2026-05-27,Local Spa - Personal Care,Local Spa,Personal Care,760.99,UPI,Expense
T0462,2026-05-27,Uber - Transport,Uber,Transport,161.98,Cash,Expense
T0443,2026-05-27,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,12355.19,Bank Transfer,Expense
T0464,2026-05-27,Ola - Transport,Ola,Transport,139.47,UPI,Expense
T0490,2026-06-01,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,821.99,UPI,Expense
T0535,2026-06-01,Nykaa - Personal Care,Nykaa,Personal Care,813.55,UPI,Expense
T0485,2026-06-01,Monthly Salary,Employer Payroll,Income,48165.92,Bank Transfer,Income
T0533,2026-06-02,Nykaa - Personal Care,Nykaa,Personal Care,397.79,Cash,Expense
T0515,2026-06-02,Ola - Transport,Ola,Transport,96.17,Card,Expense
T0505,2026-06-03,Metro Card - Transport,Metro Card,Transport,125.67,UPI,Expense
T0534,2026-06-03,Local Spa - Personal Care,Local Spa,Personal Care,632.29,Cash,Expense
T0511,2026-06-03,Petrol Pump - Transport,Petrol Pump,Transport,54.66,UPI,Expense
T0497,2026-06-04,Dominos - Food,Dominos,Food,174.31,Card,Expense
T0521,2026-06-06,Amazon - Shopping,Amazon,Shopping,396.82,UPI,Expense
T0504,2026-06-06,Zomato - Food,Zomato,Food,135.88,Cash,Expense
T0508,2026-06-07,Uber - Transport,Uber,Transport,105.28,Card,Expense
T0495,2026-06-07,Starbucks - Food,Starbucks,Food,618.58,Card,Expense
T0509,2026-06-08,Rapido - Transport,Rapido,Transport,69.76,Card,Expense
T0529,2026-06-09,Apollo Pharmacy - Health & Fitness,Apollo Pharmacy,Health & Fitness,1147.17,Cash,Expense
T0518,2026-06-09,Metro Card - Transport,Metro Card,Transport,152.29,UPI,Expense
T0503,2026-06-10,Zomato - Food,Zomato,Food,340.86,Card,Expense
T0499,2026-06-10,Swiggy - Food,Swiggy,Food,135.27,Card,Expense
T0525,2026-06-11,BookMyShow - Entertainment,BookMyShow,Entertainment,296.4,Card,Expense
T0524,2026-06-11,YouTube Premium - Entertainment,YouTube Premium,Entertainment,785.55,UPI,Expense
T0516,2026-06-13,Rapido - Transport,Rapido,Transport,190.77,Cash,Expense
T0502,2026-06-13,Grocery Mart - Food,Grocery Mart,Food,92.69,Cash,Expense
T0488,2026-06-13,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,11851.97,Bank Transfer,Expense
T0512,2026-06-13,Petrol Pump - Transport,Petrol Pump,Transport,55.66,UPI,Expense
T0494,2026-06-14,Dominos - Food,Dominos,Food,225.42,UPI,Expense
T0493,2026-06-15,Swiggy - Food,Swiggy,Food,354.44,Card,Expense
T0531,2026-06-15,IRCTC - Travel,IRCTC,Travel,4949.08,UPI,Expense
T0506,2026-06-15,Uber - Transport,Uber,Transport,57.61,Card,Expense
T0496,2026-06-16,Swiggy - Food,Swiggy,Food,156.31,Card,Expense
T0491,2026-06-16,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,404.62,UPI,Expense
T0498,2026-06-16,Dominos - Food,Dominos,Food,94.21,Cash,Expense
T0489,2026-06-18,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1787.63,Bank Transfer,Expense
T0527,2026-06-18,Spotify - Entertainment,Spotify,Entertainment,227.7,UPI,Expense
T0523,2026-06-19,Myntra - Shopping,Myntra,Shopping,965.22,UPI,Expense
T0514,2026-06-19,Metro Card - Transport,Metro Card,Transport,594.63,Card,Expense
T0520,2026-06-22,Metro Card - Transport,Metro Card,Transport,56.58,Card,Expense
T0510,2026-06-22,Rapido - Transport,Rapido,Transport,495.94,Cash,Expense
T0517,2026-06-22,Rapido - Transport,Rapido,Transport,566.27,UPI,Expense
T0501,2026-06-23,Grocery Mart - Food,Grocery Mart,Food,255.93,Cash,Expense
T0492,2026-06-23,Local Cafe - Food,Local Cafe,Food,85.44,Cash,Expense
T0530,2026-06-24,Udemy - Education,Udemy,Education,917.88,UPI,Expense
T0522,2026-06-24,Amazon - Shopping,Amazon,,792.42,UPI,Expense
T0487,2026-06-24,Spotify - Entertainment,Spotify,Entertainment,117.26,UPI,Expense
T0507,2026-06-24,Uber - Transport,Uber,Transport,106.25,UPI,Expense
T0513,2026-06-24,Rapido - Transport,Rapido,Transport,368.32,Cash,Expense
T0500,2026-06-25,Starbucks - Food,Starbucks,Food,122.43,Card,Expense
T0532,2026-06-26,MakeMyTrip - Travel,MakeMyTrip,Travel,3194.94,UPI,Expense
T0486,2026-06-26,Netflix - Entertainment,Netflix,Entertainment,680.18,Card,Expense
T0526,2026-06-27,PVR Cinemas - Entertainment,PVR Cinemas,Entertainment,302.93,Card,Expense
T0528,2026-06-27,Spotify - Entertainment,Spotify,Entertainment,255.99,UPI,Expense
T0519,2026-06-27,Rapido - Transport,Rapido,Transport,117.38,Card,Expense
T0536,2026-07-01,Monthly Salary,Employer Payroll,Income,47672.96,Bank Transfer,Income
T0575,2026-07-04,Book Store - Education,Book Store,Education,1956.5,Card,Expense
T0568,2026-07-04,Spotify - Entertainment,Spotify,Entertainment,644.17,Card,Expense
T0544,2026-07-05,Local Cafe - Food,Local Cafe,Food,301.73,UPI,Expense
T0564,2026-07-06,Myntra - Shopping,Myntra,Shopping,4422.0,Card,Expense
T0558,2026-07-06,Metro Card - Transport,Metro Card,Transport,66.64,UPI,Expense
T0552,2026-07-06,Grocery Mart - Food,Grocery Mart,Food,161.7,Cash,Expense
T0537,2026-07-07,Netflix - Entertainment,Netflix,Entertainment,673.77,Card,Expense
T0573,2026-07-08,Apollo Pharmacy - Health & Fitness,Apollo Pharmacy,Health & Fitness,195.57,Cash,Expense
T0572,2026-07-08,Cult.fit Gym - Health & Fitness,Cult.fit Gym,Health & Fitness,255.54,Card,Expense
T0543,2026-07-08,Starbucks - Food,Starbucks,Food,544.29,UPI,Expense
T0567,2026-07-09,YouTube Premium - Entertainment,YouTube Premium,Entertainment,647.79,UPI,Expense
T0566,2026-07-09,PVR Cinemas - Entertainment,PVR Cinemas,Entertainment,130.37,UPI,Expense
T0542,2026-07-11,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,405.07,UPI,Expense
T0556,2026-07-11,Petrol Pump - Transport,Petrol Pump,Transport,44.59,Card,Expense
T0548,2026-07-11,Starbucks - Food,Starbucks,Food,263.52,UPI,Expense
T0551,2026-07-12,Swiggy - Food,Swiggy,Food,571.68,UPI,Expense
T0561,2026-07-12,Rapido - Transport,Rapido,Transport,49.78,Card,Expense
T0563,2026-07-12,Amazon - Shopping,Amazon,Shopping,330.63,Card,Expense
T0571,2026-07-13,MedPlus - Health & Fitness,MedPlus,Health & Fitness,2289.6,UPI,Expense
T0559,2026-07-14,Ola - Transport,Ola,Transport,51.99,Card,Expense
T0538,2026-07-14,Spotify - Entertainment,Spotify,Entertainment,119.86,UPI,Expense
T0554,2026-07-15,Metro Card - Transport,Metro Card,Transport,259.25,Card,Expense
T0577,2026-07-15,IRCTC - Travel,IRCTC,Travel,6044.77,UPI,Expense
T0539,2026-07-16,Landlord - Monthly Rent - Rent & Housing,Landlord - Monthly Rent,Rent & Housing,11645.25,Bank Transfer,Expense
T0549,2026-07-16,Dominos - Food,Dominos,Food,359.43,Cash,Expense
T0555,2026-07-16,Uber - Transport,Uber,Transport,244.39,UPI,Expense
T0557,2026-07-16,Metro Card - Transport,Metro Card,Transport,164.54,Cash,Expense
T0576,2026-07-17,MakeMyTrip - Travel,MakeMyTrip,Travel,4541.45,Card,Expense
T0562,2026-07-18,Rapido - Transport,Rapido,Transport,222.83,Cash,Expense
T0553,2026-07-20,Rapido - Transport,Rapido,Transport,42.68,Cash,Expense
T0540,2026-07-22,Housing Society Maintenance - Rent & Housing,Housing Society Maintenance,Rent & Housing,1793.62,Bank Transfer,Expense
T0546,2026-07-23,Zomato - Food,Zomato,Food,348.11,Cash,Expense
T0547,2026-07-24,Dominos - Food,Dominos,Food,102.74,Card,Expense
T0574,2026-07-24,Udemy - Education,Udemy,Education,1893.25,UPI,Expense
T0570,2026-07-24,Local Clinic - Health & Fitness,Local Clinic,Health & Fitness,458.62,Cash,Expense
T0550,2026-07-25,Local Cafe - Food,Local Cafe,Food,199.84,UPI,Expense
T0560,2026-07-26,Uber - Transport,Uber,Transport,357.67,Card,Expense
T0569,2026-07-26,Netflix - Entertainment,Netflix,Entertainment,351.2,Card,Expense
T0565,2026-07-26,Local Mall - Shopping,Local Mall,Shopping,2028.63,Card,Expense
T0545,2026-07-27,Swiggy - Food,Swiggy,Food,664.65,Cash,Expense
T0541,2026-07-27,Broadband ISP - Bills & Utilities,Broadband ISP,Bills & Utilities,831.2,UPI,Expense
T0578,2026-07-27,Nykaa - Personal Care,Nykaa,Personal Care,498.05,Cash,Expense
